ID,Trail,Endpoints,Miles,node_A,node_B,cost_A_to_B,cost_B_to_A,is_required,node_A_is_campsite,node_B_is_campsite,elev_A,elev_B,gain_A_to_B,gain_B_to_A,is_trail_closed,node_A_overnight_closed,node_B_overnight_closed
2,Abrams Falls,Cades Cove - Hannah Mountain,4.2,TH015,TI004,5787,6091,1,0,0,1706,1269,734,1170,0,0,0
3,Ace Gap,Rich Mountain Road - Beard Cane,5.6,TH026,TI020,7284,7458,1,0,0,1949,1749,1089,1289,0,0,0
4,Albright Grove Loop,Maddron Bald N - Maddron Bald S,0.7,TI217,TI218,1064,918,1,0,0,3111,3299,295,107,0,0,0
5,Alum Cave,Newfound Gap Road - Rainbow Falls,5,TH148,TI151,10424,8466,1,0,0,3877,6359,3035,552,0,0,0
6,Anthony Creek,Cades Cove Picnic Area - Crib Gap,0.2,TH033,TI035,315,246,1,0,0,1961,2024,68,4,0,0,0
7,Anthony Creek,Crib Gap - Russell Field,1.4,TI035,TI036,2102,1637,1,0,0,2024,2480,507,51,0,0,0
8.1,Anthony Creek,Russell Field - Campsite 9,1.2,TI036,BC009,2260,1634,1,0,1,2480,3285,820,15,0,0,0
8.2,Anthony Creek,Campsite 9 - Bote Mountain,0.7,BC009,TI044,1338,997,1,1,0,3285,3758,497,24,0,0,0
9,Appalachian,Fontana/Lakeview Drive West - Lost Cove,3.7,TH025,TI024,6874,5638,1,0,0,1887,3671,2269,485,0,0,0
10.1,Appalachian,Lost Cove - Campsite 113,0.9,TI024,BC113,1367,1287,1,0,1,3671,3740,270,202,0,0,0
10.2,Appalachian,Campsite 113 - Gregory Bald (Doe Knob),2.2,BC113,TI022,3542,3022,1,1,0,3740,4446,980,273,0,0,0
11.1,Appalachian,Gregory Bald (Doe Knob) - Mollies Ridge,3.3,TI022,SH112,4620,4453,1,0,1,4446,4583,910,773,0,0,0
11.2,Appalachian,Mollies Ridge - Russell Field,3.1,SH112,SH111,4389,4546,1,1,1,4583,4348,657,893,0,0,0
12,Appalachian,Russell Field - Eagle Creek,2.9,SH111,TI045,4087,3567,1,1,0,4348,4912,898,333,0,0,0
13,Appalachian,Eagle Creek - Bote Mountain,0.1,TI045,TI047,66,94,1,0,0,4912,4885,0,27,0,0,0
14,Appalachian,Bote Mountain - Jenkins Ridge,0.3,TI047,TI049,472,407,1,0,0,4885,4947,103,42,0,0,0
15.1,Appalachian,Jenkins Ridge - Derrick Knob,5.9,TI049,SH109,10117,10158,1,0,1,4947,4882,2242,2306,0,0,0
15.2,Appalachian,Derrick Knob - Greenbrier Ridge,0.3,SH109,TI075,437,497,1,1,0,4882,4773,30,138,0,0,0
16,Appalachian,Greenbrier Ridge - Miry Ridge,2.4,TI075,TI087,3683,3519,1,0,0,4773,4957,800,617,0,0,0
17.1,Appalachian,Miry Ridge - Silers Bald Shelter,2.8,TI087,SH108,4319,3984,1,0,1,4957,5451,1033,539,0,0,0
17.2,Appalachian,Silers Bald Shelter - Welch Ridge,0.5,SH108,TI097,704,699,1,1,0,5451,5424,154,181,0,0,0
18.1,Appalachian,Welch Ridge - Double Spring Gap Shelter,1.3,TI097,SH107,1938,1892,1,0,1,5424,5507,399,316,0,0,0
18.2,Appalachian,Double Spring Gap Shelter - Goshen Prong,0.6,SH107,TI112,907,699,1,1,0,5507,5767,280,21,0,0,0
19,Appalachian,Goshen Prong - Kuwohi Bypass,1.9,TI112,TI121,3200,2641,1,0,0,5767,6518,942,193,0,0,0
20,Appalachian,Kuwohi Bypass - Kuwohi Tower,0.3,TI121,TI123,522,427,1,0,0,6518,6621,120,16,0,0,0
21.1,Appalachian,Kuwohi Tower - Collins Gap,1.8,TI123,TH136,2233,2846,1,0,0,6621,5791,90,919,0,0,0
21.2,Appalachian,Collins Gap - Sugarland Mountain,1.7,TH136,TI139,2492,2386,1,0,0,5791,5958,555,387,0,0,0
22.1,Appalachian,Sugarland Mountain - Fork Ridge,0.2,TI139,TH142,303,378,1,0,0,5958,5888,5,75,0,0,0
22.2,Appalachian,Fork Ridge - Road Prong,2.5,TH142,TH150,3231,3722,1,0,0,5888,5272,313,929,0,0,0
23,Appalachian,Road Prong - Newfound Gap Parking Lot,1.7,TH150,TH164,2499,2638,1,0,0,5272,5045,394,621,0,0,0
24,Appalachian,Newfound Gap Parking Lot - Sweat Heifer,1.7,TH164,TI174,2822,2190,1,0,0,5045,5834,873,85,0,0,0
25,Appalachian,Sweat Heifer - Boulevard,1,TI174,TI180,1445,1282,1,0,0,5834,6034,316,115,0,0,0
26.1,Appalachian,Boulevard - Icewater Spring Shelter,0.3,TI180,SH105,345,451,1,0,1,6034,5926,4,112,0,0,0
26.2,Appalachian,Icewater Spring Shelter - Dry Sluice Gap,1.4,SH105,TI187,1910,2296,1,1,0,5926,5402,136,659,0,0,0
